Installed Packages
systemd.x86_64                                239-51.el8_5.3                          @ubi-8-baseos   
systemd-libs.x86_64                           239-51.el8_5.3                          @ubi-8-baseos   
systemd-pam.x86_64                            239-51.el8_5.3                          @ubi-8-baseos   
tar.x86_64                                    2:1.30-5.el8                            @System         
tcl.x86_64                                    1:8.6.8-2.el8                           @ubi-8-baseos   
time.x86_64                                   1.9-3.el8                               @ubi-8-baseos   
tpm2-tss.x86_64                               2.3.2-4.el8                             @System         
tzdata.noarch                                 2021e-1.el8                             @System         
unzip.x86_64                                  6.0-45.el8_4                            @ubi-8-baseos   
usermode.x86_64                               1.113-2.el8                             @System         
util-linux.x86_64                             2.32.1-28.el8                           @System         
uuid.x86_64                                   1.6.2-43.el8                            @ubi-8-appstream
vim-common.x86_64                             2:8.0.1763-16.el8_5.4                   @ubi-8-appstream
vim-enhanced.x86_64                           2:8.0.1763-16.el8_5.4                   @ubi-8-appstream
vim-filesystem.noarch                         2:8.0.1763-16.el8_5.4                   @ubi-8-appstream
vim-minimal.x86_64                            2:8.0.1763-16.el8_5.4                   @ubi-8-baseos   
virt-what.x86_64                              1.18-12.el8                             @System         
wget.x86_64                                   1.19.5-10.el8                           @ubi-8-appstream
which.x86_64                                  2.21-16.el8                             @System         
xkeyboard-config.noarch                       2.28-1.el8                              @ubi-8-appstream
xz-libs.x86_64                                5.2.4-3.el8                             @System         
yum.noarch                                    4.7.0-4.el8                             @System         
yum-utils.noarch                              4.0.21-4.el8_5                          @ubi-8-baseos   
zip.x86_64                                    3.0-23.el8                              @ubi-8-baseos   
zlib.x86_64                                   1.2.11-17.el8                           @System         
zlib-devel.x86_64                             1.2.11-17.el8                           @ubi-8-baseos   
